nome,idade,valor,inadimplente
Juliana Silva Andrade,35,3174.41,sim
Paulo Dias Andrade,75,6885.28,não
Pedro Silva Oliveira,31,3023.36,não
Caroline Alves Nascimento,59,8811.36,não
Felipe Vieira Lima,69,10885.86,não
Luiz Nascimento Carvalho,39,3581.71,sim
Aline Souza Oliveira,42,1344.45,não
Thiago Lima Nunes,20,9162.19,não
Diego Oliveira Fernandes,36,10393.15,não
Patricia Vieira Alves,63,1009.01,não
Rodrigo Oliveira Machado,32,10851.07,não
Vanessa Rocha Marques,41,2158.78,não
Fernanda Nascimento Dias,59,1031.82,não
Leonardo Andrade Pereira,28,5858.91,sim
Caroline Pereira Dias,38,10559.22,não
Gabriel Marques Santos,69,4045.85,sim
Amanda Vieira Nascimento,38,2775.94,não
Vanessa Rodrigues Lima,26,3195.85,não
Rafael Andrade Vieira,45,11238.11,não
Gabriel Rodrigues Soares,49,1272.73,sim
Juliana Rodrigues Rocha,28,9932.18,não
Carlos Martins Martins,56,12452.1,não
Caroline Machado Silva,61,9050.91,não
Leonardo Moreira Lima,67,8065.88,sim
Bruna Ferreira Almeida,18,11929.63,não
Rafael Soares Moreira,29,6419.87,sim
Letícia Marques Rocha,50,7670.78,sim
Luiz Fernandes Moreira,51,11493.39,não
Jessica Silva Souza,41,11002.22,não
Letícia Pereira Santos,33,10993.42,não
Mariana Andrade Lopes,70,1004.77,não
Lucas Rodrigues Dias,48,11843.58,sim
Aline Machado Barbosa,45,12059.88,não
Marcos Nascimento Gomes,43,12440.09,não
Felipe Soares Almeida,25,3211.63,sim
Maria Vieira Fernandes,32,7417.24,sim
Ana Pereira Oliveira,75,537.95,não
André Pereira Lima,60,6144.87,não
Daniel Vieira Lopes,33,9840.05,não
Marcos Souza Souza,60,5473.48,não
Vanessa Machado Andrade,21,8466.05,não
Paulo Santos Martins,64,4340.39,não
Larissa Alves Alves,52,5690.38,não
Fernanda Almeida Pereira,73,11552.33,não
Caroline Souza Santos,59,12491.14,não
Mariana Moreira Machado,33,2203.94,não
Amanda Machado Martins,75,874.15,não
Diego Lima Nunes,68,5769.35,não
Caroline Dias Nascimento,49,2061.74,sim
Ana Vieira Andrade,52,902.83,não
Ana Vieira Lopes,50,11504.43,não
Ana Soares Oliveira,72,2444.94,não
Larissa Martins Souza,74,7185.49,não
Pedro Barbosa Oliveira,44,8268.56,não
Bruno Lima Alves,60,8994.97,sim
Camila Rodrigues Dias,59,3854.96,não
Carlos Silva Almeida,57,12480.91,não
Carlos Fernandes Alves,50,3425.23,não
Carlos Pereira Ribeiro,36,2098.17,não
Letícia Barbosa Nunes,59,6682.42,não
Caroline Gomes Dias,24,11745.79,sim
Juliana Souza Andrade,53,2069.78,sim
Amanda Nascimento Costa,31,8640.59,não
André Lopes Lima,75,11365.76,sim
Bruna Marques Lima,20,193.79,não
Rafael Ferreira Andrade,46,6963.25,não
João Souza Oliveira,74,8684.09,sim
Pedro Marques Ribeiro,55,6973.68,não
Pedro Gomes Ribeiro,75,11673.64,não
Pedro Ribeiro Alves,61,3231.69,sim
Caroline Machado Carvalho,57,9406.05,não
Larissa Machado Ferreira,69,10163.03,não
Maria Ferreira Andrade,39,9812.47,não
Larissa Lima Ferreira,68,8810.79,não
Pedro Machado Lopes,32,2614.72,não
Thiago Gomes Marques,68,10910.84,sim
Marcos Martins Costa,35,10824.76,não
Fernanda Ribeiro Rocha,50,5086.03,não
Leonardo Costa Silva,25,10981.42,sim
Priscila Lima Santos,24,7517.65,não
Bruno Carvalho Barbosa,50,1578.23,não
Marcos Lima Santos,63,5535.31,não
Leonardo Dias Andrade,65,9252.42,sim
Bruna Oliveira Dias,39,7845.97,não
Juliana Andrade Gomes,50,3969.67,não
Camila Nascimento Gomes,53,1722.0,não
Diego Dias Andrade,75,2299.24,não
Camila Fernandes Marques,18,3902.86,sim
Priscila Barbosa Rocha,38,5892.6,não
Amanda Soares Lopes,68,11279.58,não
Luiz Dias Oliveira,36,6515.83,não
Aline Oliveira Marques,66,3050.63,não
Marcos Rodrigues Silva,20,3173.81,não
Carlos Almeida Carvalho,74,7927.6,sim
Diego Lopes Martins,33,1972.51,não
Paulo Moreira Carvalho,32,2322.2,não
Aline Almeida Santos,53,3227.6,não
Vanessa Rodrigues Nunes,47,8394.58,não
Thiago Costa Moreira,75,5615.78,não
André Carvalho Marques,53,5657.03,sim
