Nome;Idade;Valor;Inadimplencia
Rodrigo Souza;19;7441.35;Não
Carlos Nascimento;24;6799.32;Não
Pedro Barbosa;45;414.65;Sim
Mariana Barros;56;362.71;Sim
Rodrigo Dias;52;4253.25;Não
Marcos Cardoso;73;164.34;Não
Gustavo Alves;39;2850.93;Não
André Martins;24;1018.18;Sim
Caroline Rocha;56;2718.76;Sim
Rafael Freitas;25;9733.85;Não
Amanda Gomes;71;6323.53;Não
Camila Barbosa;30;7075.26;Sim
Mariana Teixeira;36;9853.69;Não
Caroline Souza;42;2851.94;Não
Camila Ferreira;41;3617.18;Não
Gustavo Castro;61;6515.55;Não
Juliana Freitas;64;2523.63;Não
Marcos Castro;58;6912.8;Não
Luiz Moreira;67;7782.4;Não
Maria Cardoso;38;4071.53;Sim
Vanessa Barbosa;74;7207.35;Não
Fernanda Ribeiro;74;9154.02;Não
Marcos Rodrigues;33;7475.39;Não
Patrícia Barbosa;45;8988.45;Não
Mariana Rodrigues;50;4985.81;Não
Caroline Souza;27;6311.72;Não
Larissa Pinto;22;3909.2;Não
Rafael Barros;34;9713.68;Não
João Lima;64;1234.06;Não
André Carvalho;67;6445.52;Sim
Larissa Ferreira;47;132.13;Não
Patrícia Carvalho;50;7643.43;Não
Ana Cavalcanti;58;3054.6;Não
Letícia Almeida;27;3801.75;Sim
André Castro;51;9193.09;Não
Fernanda Silva;25;9298.08;Não
Felipe Cardoso;37;2470.58;Não
Bruno Oliveira;23;7345.89;Não
André Freitas;67;1345.03;Não
Amanda Ferreira;34;5323.97;Não
Lucas Castro;52;7577.13;Não
Gustavo Gomes;43;9951.98;Não
Rafael Melo;51;4569.71;Não
Pedro Martins;19;5924.26;Não
Mariana Silva;22;7107.63;Sim
Pedro Melo;20;8610.39;Sim
Mariana Carvalho;60;4905.6;Não
Patrícia Castro;74;5753.33;Não
Isabela Mendes;69;4129.89;Sim
Aline Alves;40;4293.43;Não
Patrícia Santos;61;6569.21;Não
Maria Ribeiro;64;3459.1;Não
Mariana Almeida;30;5409.23;Sim
Juliana Carvalho;47;2573.08;Não
Rafael Cardoso;73;8574.07;Sim
Rodrigo Freitas;71;246.1;Sim
André Cavalcanti;33;1746.48;Não
Lucas Cavalcanti;43;9034.18;Sim
João Ribeiro;34;9272.53;Não
Beatriz Alves;62;9577.44;Não
Amanda Lima;63;4918.05;Sim
Lucas Santos;55;7383.8;Sim
Luiz Santos;21;5883.36;Não
Caroline Barros;28;663.11;Não
Caroline Ferreira;22;5990.85;Não
Mariana Ribeiro;25;9421.8;Não
Bruno Pinto;20;6231.88;Não
Bruno Barbosa;51;3232.06;Não
Aline Dias;38;2462.99;Não
Aline Costa;37;4626.52;Não
Vanessa Oliveira;18;4637.03;Não
Ana Oliveira;52;2210.23;Não
Vanessa Rocha;74;781.03;Não
Beatriz Ferreira;46;8354.08;Não
Letícia Cardoso;59;5336.51;Não
Amanda Gomes;60;1125.51;Não
Marcos Souza;74;1159.66;Não
Marcos Gomes;56;2185.23;Não
Aline Costa;72;2713.44;Não
Diego Castro;72;602.91;Não
Felipe Carvalho;20;135.1;Não
Rodrigo Carvalho;28;7438.19;Não
Larissa Freitas;18;1207.55;Não
Gustavo Melo;27;5501.34;Não
Bruno Freitas;27;4354.89;Sim
Camila Melo;68;9724.74;Sim
Camila Almeida;61;2570.34;Sim
André Freitas;74;8759.66;Não
Patrícia Rodrigues;33;8659.6;Não
Isabela Ferreira;74;4181.71;Sim
Vanessa Martins;68;9315.08;Não
Caroline Nascimento;69;2556.86;Sim
Gustavo Souza;42;8734.45;Não
Mariana Almeida;70;9192.67;Não
Felipe Cardoso;73;2353.2;Sim
Lucas Ribeiro;39;2858.17;Sim
André Carvalho;40;6450.67;Não
Felipe Freitas;39;9398.45;Sim
Marcos Ferreira;55;9629.09;Não
Ana Pinto;45;3522.3;Não
